Video_ID,Video_Views,Comment/View,Like/View,Seconds
jwLgfCXJaKE,9096243,5.862530277610218,55.91055559971298,774
0YlYpmZTcvs,6931395,4.914018029559706,49.42828968771799,2168
nA1QKpKuSd4,10130888,5.472965449820391,51.61906833833322,2249
ZDckQiE-fUg,6953346,3.644432478982061,44.3560553437151,1015
T4Q0pElKWY0,9898009,2.075669965545596,33.7338549601238,1109
VnRuAzvtK_M,6290806,2.0049895037297287,43.64766613371959,1336
s7RmUKm9PCA,7802857,5.468125328966044,48.12839707302082,1324
0m5TvH-D5tQ,8855932,2.1882507679598264,30.33085619898617,1120
2llLx_WkF3Q,8842757,6.669073909867703,49.319459982899,1730
wFU8plUZccs,10940721,1.9392689019306864,31.840588933764053,901
2McDQu5UQpk,12727811,2.543563853988718,37.84476372252856,1167
qfxoHNtXpZk,15410235,2.105418898543728,29.02888891700873,1344
kQBn8t2JXp0,10762069,1.5272156311207443,37.16209215904488,1135
EG2_RQ0kT7o,7966675,3.9243473594692895,44.22673198040588,891
I_v8zPpId_A,8747548,2.167464528345543,38.12794168148606,889
xf0Mi3kWKhY,21176168,3.327797550529444,35.653145554946484,794
kre7lFvg8ew,6371915,6.582793398844775,45.21293833957296,862
lKwON5JcAv0,8804102,5.254028179137407,51.54654046488785,861
xTbXOIpIT44,7387411,2.8582408640862136,49.833019984944656,595
TYq6187AjBU,3880641,5.062308005301186,74.40523356837183,268
Lqqyq3IwR_w,7228418,2.9601221180070105,39.89130125014906,812
H3vtCx5CBaI,8387013,4.313931551077839,49.86876734303381,657
c30s6OnCApw,9323512,2.2674931935519576,34.211464521094626,1066
W5NgiW0rJLk,6756394,6.819022099658486,45.01040051838303,746
2CGXodfV-Ik,6545945,3.23543812237958,39.210228622452526,854
CW6lKTrjZCM,6772111,1.0175556779857862,33.02633403380423,1416
pVikUbTnUqU,8642782,2.910868282920939,39.49469048276354,928
QccBAHil6SI,8156360,3.767366815589307,51.8511934245178,637
I1cX-ZMTzT4,5380147,4.380549453388541,46.4959414677703,913
3a2h1aILVi4,7468351,1.8511449180682589,35.10734832896847,826
92ZU3IcYEIE,8783756,1.6776422295883446,33.46290584574526,829
ZtpWXGyRtSw,7230991,1.1449329697685977,37.16060495719052,1037
-ZW-ZnQoj5g,10078025,4.662322230794228,51.70358279524014,706
icLIdzEJ1Uo,15604626,2.234081098771608,43.146372107860834,677
R9qjYySeWfU,8418067,3.643235436353738,33.20204032588479,877
6t41dgYCQjw,8540293,2.875311186630248,38.65979773761861,703
olONgK_CxG4,12223709,2.4818980883789035,33.60992968664421,996
DL_Un-euzBs,8397564,1.8561335168151143,33.50840791448568,1078
lteC_JdTObE,9030936,2.2975470095237083,36.65721914096169,951
0txgvcMZMVk,4230219,3.802167216401799,43.28097434199033,987
ew1JYegKF7s,6784734,2.115189777521123,33.02517092048119,1126
_Y4E8XC70x0,8422957,1.200409784829722,34.70491420055926,1079
