Video_Views,Comment/View,Like/View,Seconds,Category,Length
4391246,0.5565618505544896,22.59199325202915,91,1,0-5
4690950,6.90862192093286,82.63336850744518,228,1,0-5
1881134,2.7270784537412007,65.88100581883056,44,1,0-5
4512410,3.256574646364138,45.15635768912843,137,1,0-5
8766735,1.3056171995617525,22.76149558530057,193,1,0-5
1262262,4.920531553671108,47.43706140246637,124,1,0-5
2228425,3.441444069241729,45.31227212044381,113,1,0-5
1232642,2.720173416125688,47.538539170334936,202,1,0-5
1517658,2.7041665513574205,43.45050070569258,133,1,0-5
2799068,14.276895023629294,69.67855014597716,261,1,0-5
3345016,1.227497865481062,29.70658436312412,177,1,0-5
2357323,2.3127929435211043,36.58726445209248,298,1,0-5
11417892,0.3970960664192655,12.060194648889654,128,1,0-5
7049123,0.6392284543765232,28.38849598737318,82,1,0-5
1515446,4.634279281478852,61.34497699027217,68,1,0-5
1248406,7.653760074847446,70.23356183805589,150,1,0-5
2399787,3.046520378683608,54.60692969834406,113,1,0-5
3705829,0.765550704039501,27.9807837868396,109,1,0-5
2612543,2.746749048723792,34.24211582354817,144,1,0-5
8037605,0.7662730378016834,24.63358176969384,91,1,0-5
3548601,4.940538538990436,40.55908229750259,137,1,0-5
6987398,12.739219949972794,66.68405034320358,88,1,0-5
9387718,2.401542100007691,27.686068115808336,147,1,0-5
3215284,5.603237536715263,66.1549648491393,10,1,0-5
1302252,6.859655427674521,70.01563445477527,63,1,0-5
1446479,4.816523433800283,57.66761909436639,281,1,0-5
6208799,0.6371602623953522,27.972398526671583,101,1,0-5
4982772,3.349139796081378,46.77115469060194,148,1,0-5
2233000,5.494402149574563,60.78907299596955,49,1,0-5
2397312,6.186095093171018,59.2901549735704,31,1,0-5
953503,4.238056933224122,61.225816803932446,36,1,0-5
907932,4.367067137186486,69.46445328504778,48,1,0-5
997019,4.11827658249241,64.02987305156672,31,1,0-5
1777016,2.981965272119103,54.1300697348814,31,1,0-5
2144091,6.979647785471792,66.47758887099475,93,1,0-5
1333144,1.3546923663160169,46.85240304123185,293,1,0-5
1681713,4.629803063899726,53.567998820250544,65,1,0-5
2419226,6.920808556124976,95.23004465064446,60,1,0-5
5726984,5.051000666319306,74.97646230546479,56,1,0-5
2958009,7.062182704650324,65.60730545444588,59,1,0-5
13642760,4.290407512849306,27.002160853082515,162,1,0-5
9288687,0.9070173211779016,30.918363381175404,138,1,0-5
2207878,6.652541490064215,54.84451586545996,123,1,0-5
1868500,7.859245383997859,67.60449558469361,59,1,0-5
1441975,7.219265243849581,72.32719013852528,118,1,0-5
15098846,0.7152202227905364,21.25639270709828,105,1,0-5
24106156,1.4839363024117158,17.218921175155426,72,1,0-5
7595157,0.6016992143809535,22.67958384533724,74,1,0-5
2334843,2.428428806562154,53.72395488690246,48,1,0-5
2081261,4.368024961789992,55.094003106770366,151,1,0-5
6388591,4.154280654372772,61.57977557179666,13,1,0-5
21368790,0.6679835404812345,17.897176208854127,156,1,0-5
1330680,17.05143235037725,129.4811675233715,152,1,0-5
3862712,4.280671196817159,43.92380275826932,111,1,0-5
1436623,6.628043682998253,75.62944488567982,34,1,0-5
1362055,5.210509120409969,62.49453950097463,80,1,0-5
2752914,6.3576268637523725,63.00305785069929,230,1,0-5
9004056,0.9456849224393984,25.671541802938588,103,1,0-5
1671934,6.147371846017845,54.79821571904154,149,1,0-5
3005854,6.832667188759002,58.17847440361375,132,1,0-5
19836479,0.7663154332984196,23.110855510194124,124,1,0-5
5352924,1.2288610860157925,26.286194237018872,205,1,0-5
18569089,0.8537306272806383,14.958622902825228,294,1,0-5
6300654,3.967365927410075,34.59974155063903,75,1,0-5
4018919,2.4322460840838045,59.76731553932786,14,1,0-5
4681283,0.4665387672567542,32.08393938157552,96,1,0-5
2165367,6.2954686203308725,66.20309628806572,102,1,0-5
4729280,3.497572569186007,72.28986230462142,30,1,0-5
2504625,4.853021909467485,57.83660228577132,30,1,0-5
4067962,0.6779807677652839,24.90952472024075,126,1,0-5
2062288,8.473598255917699,64.89879202128897,225,1,0-5
7178527,0.7796864175617086,20.28856337797433,139,1,0-5
2316689,9.43026880172522,67.03618828422805,241,1,0-5
10007304,0.5001347016139411,19.12473129626121,108,1,0-5
2719693,6.420577616664822,57.36934278979282,34,1,0-5
14750858,3.458578477265526,34.5474819159672,154,1,0-5
3223397,5.310236374855471,53.46874741150408,34,1,0-5
2963463,10.037918475783233,61.78008633817935,43,1,0-5
11923178,4.5133939961308975,53.62236477556571,12,1,0-5
5478161,6.250272673621677,49.23385785850397,81,1,0-5
6028708,4.348858826800037,44.73230416865438,19,1,0-5
2416127,5.673956708401504,49.89348655927441,255,1,0-5
26482889,0.929317039390982,19.032515674555,171,1,0-5
1553079,6.24050676108556,48.58606677445256,70,1,0-5
